"x_aim" "y_aim" "ev" "mod_pen" "sep" "std"
-100 -100 0 -5 32 6.43138746643366
-99 -100 0 -5 32 6.43138746643366
-98 -100 0 -5 32 6.43138746643366
-97 -100 0 -5 32 6.43138746643366
-96 -100 0 -5 32 6.43138746643366
-95 -100 0 -5 32 6.43138746643366
-94 -100 0 -5 32 6.43138746643366
-93 -100 0 -5 32 6.43138746643366
-92 -100 0 -5 32 6.43138746643366
-91 -100 0 -5 32 6.43138746643366
-90 -100 0 -5 32 6.43138746643366
-89 -100 0 -5 32 6.43138746643366
-88 -100 0 -5 32 6.43138746643366
-87 -100 0 -5 32 6.43138746643366
-86 -100 0 -5 32 6.43138746643366
-85 -100 0 -5 32 6.43138746643366
-84 -100 0 -5 32 6.43138746643366
-83 -100 0 -5 32 6.43138746643366
-82 -100 0 -5 32 6.43138746643366
-81 -100 0 -5 32 6.43138746643366
-80 -100 0 -5 32 6.43138746643366
-79 -100 0 -5 32 6.43138746643366
-78 -100 0 -5 32 6.43138746643366
-77 -100 0 -5 32 6.43138746643366
-76 -100 0 -5 32 6.43138746643366
-75 -100 0 -5 32 6.43138746643366
-74 -100 0 -5 32 6.43138746643366
-73 -100 0 -5 32 6.43138746643366
-72 -100 0 -5 32 6.43138746643366
-71 -100 0 -5 32 6.43138746643366
-70 -100 0 -5 32 6.43138746643366
-69 -100 0 -5 32 6.43138746643366
-68 -100 0 -5 32 6.43138746643366
-67 -100 0 -5 32 6.43138746643366
-66 -100 0 -5 32 6.43138746643366
-65 -100 0 -5 32 6.43138746643366
-64 -100 0 -5 32 6.43138746643366
-63 -100 0 -5 32 6.43138746643366
-62 -100 0 -5 32 6.43138746643366
-61 -100 0 -5 32 6.43138746643366
-60 -100 0 -5 32 6.43138746643366
-59 -100 0 -5 32 6.43138746643366
-58 -100 0 -5 32 6.43138746643366
-57 -100 0 -5 32 6.43138746643366
-56 -100 0 -5 32 6.43138746643366
-55 -100 0 -5 32 6.43138746643366
-54 -100 0 -5 32 6.43138746643366
-53 -100 0 -5 32 6.43138746643366
-52 -100 0 -5 32 6.43138746643366
-51 -100 0 -5 32 6.43138746643366
-50 -100 0 -5 32 6.43138746643366
-49 -100 0 -5 32 6.43138746643366
-48 -100 0 -5 32 6.43138746643366
-47 -100 0 -5 32 6.43138746643366
-46 -100 0 -5 32 6.43138746643366
-45 -100 0 -5 32 6.43138746643366
-44 -100 0 -5 32 6.43138746643366
-43 -100 0 -5 32 6.43138746643366
-42 -100 0 -5 32 6.43138746643366
-41 -100 0 -5 32 6.43138746643366
-40 -100 0 -5 32 6.43138746643366
-39 -100 0 -5 32 6.43138746643366
-38 -100 0 -5 32 6.43138746643366
-37 -100 0 -5 32 6.43138746643366
-36 -100 0 -5 32 6.43138746643366
-35 -100 0 -5 32 6.43138746643366
-34 -100 0 -5 32 6.43138746643366
-33 -100 0 -5 32 6.43138746643366
-32 -100 0 -5 32 6.43138746643366
-31 -100 0 -5 32 6.43138746643366
-30 -100 0 -5 32 6.43138746643366
-29 -100 0 -5 32 6.43138746643366
-28 -100 0 -5 32 6.43138746643366
-27 -100 0 -5 32 6.43138746643366
-26 -100 0 -5 32 6.43138746643366
-25 -100 0 -5 32 6.43138746643366
-24 -100 0 -5 32 6.43138746643366
-23 -100 0 -5 32 6.43138746643366
-22 -100 0 -5 32 6.43138746643366
-21 -100 0 -5 32 6.43138746643366
-20 -100 0 -5 32 6.43138746643366
-19 -100 0 -5 32 6.43138746643366
-18 -100 0 -5 32 6.43138746643366
-17 -100 0 -5 32 6.43138746643366
-16 -100 0 -5 32 6.43138746643366
-15 -100 0 -5 32 6.43138746643366
-14 -100 0 -5 32 6.43138746643366
-13 -100 0 -5 32 6.43138746643366
-12 -100 0 -5 32 6.43138746643366
-11 -100 0 -5 32 6.43138746643366
-10 -100 0 -5 32 6.43138746643366
-9 -100 0 -5 32 6.43138746643366
-8 -100 0 -5 32 6.43138746643366
-7 -100 0 -5 32 6.43138746643366
-6 -100 0 -5 32 6.43138746643366
-5 -100 0 -5 32 6.43138746643366
-4 -100 0 -5 32 6.43138746643366
-3 -100 0 -5 32 6.43138746643366
-2 -100 0 -5 32 6.43138746643366
-1 -100 0 -5 32 6.43138746643366
0 -100 0 -5 32 6.43138746643366
1 -100 0 -5 32 6.43138746643366
2 -100 0 -5 32 6.43138746643366
3 -100 0 -5 32 6.43138746643366
4 -100 0 -5 32 6.43138746643366
5 -100 0 -5 32 6.43138746643366
6 -100 0 -5 32 6.43138746643366
7 -100 0 -5 32 6.43138746643366
8 -100 0 -5 32 6.43138746643366
9 -100 0 -5 32 6.43138746643366
10 -100 0 -5 32 6.43138746643366
11 -100 0 -5 32 6.43138746643366
12 -100 0 -5 32 6.43138746643366
